Name,Rating,Rating_count,Description,highly_rated_for
Nagarro,3.9,(4.7k),IT Services & Consulting | Hyderabad / Secunderabad +49 other locations,"Company Culture, Work Life Balance"
JBM Group,3.9,(4.7k),Auto Components | Hyderabad / Secunderabad +116 other locations,"Job Security, Skill Development / Learning"
Varun Beverages,4.0,(4.7k),Beverage | Hyderabad / Secunderabad +378 other locations,"Job Security, Work Life Balance, Skill Development / Learning"
Home Credit Finance,4.0,(4.6k),NBFC | Hyderabad / Secunderabad +136 other locations,"Work Life Balance, Company Culture, Skill Development / Learning"
Bosch,4.1,(4.6k),Auto Components | Hyderabad / Secunderabad +127 other locations,"Company Culture, Work Life Balance, Skill Development / Learning"
ITC Infotech,3.7,(4.5k),IT Services & Consulting | Hyderabad / Secunderabad +66 other locations,Work Life Balance
EY Global Delivery Services ( EY GDS),3.5,(4.5k),IT Services & Consulting | Hyderabad / Secunderabad +56 other locations,Job Security
Hewlett Packard Enterprise,4.1,(4.5k),IT Services & Consulting | Hyderabad / Secunderabad +103 other locations,"Company Culture, Work Life Balance, Work Satisfaction"
Mahindra Logistics,3.7,(4.5k),Logistics | Hyderabad / Secunderabad +234 other locations,
OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +410 other locations,Skill Development / Learning
L&T Finance,3.9,(4.5k),NBFC | Hyderabad / Secunderabad +628 other locations,Salary & Benefits
Aditya Birla Fashion and Retail,4.1,(4.5k),Fashion & Textile | Hyderabad / Secunderabad +290 other locations,"Job Security, Skill Development / Learning, Company Culture"
Utkarsh Small Finance Bank,3.6,(4.4k),Banking | Hyderabad / Secunderabad +405 other locations,
Randstad,3.7,(4.4k),Recruitment | Hyderabad / Secunderabad +349 other locations,
Dell,3.8,(4.4k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +117 other locations,"Work Life Balance, Company Culture"
CARS24,3.4,(4.4k),Internet | Hyderabad / Secunderabad +173 other locations,
Havells,3.9,(4.4k),Electrical Equipment | Hyderabad / Secunderabad +258 other locations,"Work Life Balance, Salary & Benefits"
R1 RCM,3.8,(4.4k),BPO | Hyderabad / Secunderabad +47 other locations,"Company Culture, Job Security"
Intas Pharmaceuticals,4.1,(4.4k),Pharma | Hyderabad / Secunderabad +147 other locations,"Job Security, Salary & Benefits, Work Life Balance"
Tata AIA Life Insurance,3.9,(4.4k),Insurance | Hyderabad / Secunderabad +439 other locations,"Job Security, Skill Development / Learning, Salary & Benefits"
Hyundai Motor India Limited,4.1,(4.3k),Automobile | Hyderabad / Secunderabad +287 other locations,"Job Security, Salary & Benefits, Company Culture"
Deutsche Bank,3.8,(4.3k),Banking | Hyderabad / Secunderabad +42 other locations,"Work Life Balance, Job Security, Company Culture"
Hetero,3.9,(4.3k),Pharma | Hyderabad / Secunderabad +67 other locations,"Job Security, Work Life Balance"
Motilal Oswal Financial Services,3.7,(4.3k),Financial Services | Hyderabad / Secunderabad +166 other locations,Skill Development / Learning
Berger Paints,3.7,(4.2k),Chemicals | Hyderabad / Secunderabad +352 other locations,
Team Lease,3.9,(4.2k),Recruitment | Hyderabad / Secunderabad +392 other locations,Work Life Balance
Lenskart,3.3,(4.2k),Internet | Hyderabad / Secunderabad +239 other locations,
Thermax Limited,4.2,(4.1k),Industrial Machinery | Hyderabad / Secunderabad +245 other locations,"Job Security, Company Culture, Skill Development / Learning"
Bajaj Auto,3.8,(4.1k),Automobile | Hyderabad / Secunderabad +316 other locations,
Macleods Pharmaceuticals,3.7,(4.1k),Pharma | Hyderabad / Secunderabad +130 other locations,Job Security
Aakash Educational Services,3.2,(4.1k),Education & Training | Hyderabad / Secunderabad +243 other locations,
LG Electronics,3.9,(4k),Consumer Electronics & Appliances | Hyderabad / Secunderabad +297 other locations,"Job Security, Skill Development / Learning"
Jubilant Foods Works,3.7,(4k),Hospitality | Hyderabad / Secunderabad +261 other locations,
VE Commercial Vehicles,3.9,(4k),Automobile | Hyderabad / Secunderabad +156 other locations,"Job Security, Skill Development / Learning"
Royal Enfield,4.2,(4k),Automobile | Hyderabad / Secunderabad +375 other locations,"Work Life Balance, Skill Development / Learning, Company Culture"
